Carnegie  : 3
therefore : 3
age       : 3
system    : 3
spot      : 3
tender    : 3
expense   : 3
dull      : 3
Bank      : 3
Maclise   : 3
vice      : 3
calm      : 3
run       : 3
Look      : 3
dust      : 3
Christmas : 3
edition   : 3
defend    : 3
broad     : 3
truly     : 3
glorious  : 3
born      : 3
sad       : 3
greatly   : 3
dear      : 3
sample    : 3
beauty    : 3
beg       : 3
fresh     : 3
satisfied : 3
inquiry   : 3
instruction: 3
constant  : 3
inhis     : 3
mental    : 3
lessons   : 3
cartoon   : 3
makes     : 3
passion   : 3
doing     : 3
figure    : 3
streets   : 3
weather   : 3
elements  : 3
growing   : 3
towards   : 3
reparation: 3
safe      : 3
drama     : 3
drunk     : 2
ccx       : 2
ten       : 2
newspaper : 2
vengeance : 2
M         : 2
W         : 2
x         : 2
suffered  : 2
serious   : 2
savages   : 2
thieves   : 2
hard      : 2
immortal  : 2
sexes     : 2
gained    : 2
hate      : 2
anda      : 2
save      : 2
thenumber : 2
hypertext : 2
thousand  : 2
representative: 2
direction : 2
cry       : 2
incident  : 2
beautiful : 2
worked    : 2
Are       : 2
cut       : 2
Defects   : 2
humour    : 2
BUT       : 2
dying     : 2
shoot     : 2
pervading : 2
hours     : 2
start     : 2
consistency: 2
wretch    : 2
yearsending: 2
requires  : 2
unknown   : 2
celebrated: 2
accustomed: 2
further   : 2
treatment : 2
Prisons   : 2
journal   : 2
dim       : 2
later     : 2
highway   : 2
publicly  : 2
final     : 2
colours   : 2
Lady      : 2
pound     : 2
shoal     : 2
length    : 2
grant     : 2
bythe     : 2
CMU       : 2
dog       : 2
scattered : 2
dwarf     : 2
stand     : 2
overheard : 2
maid      : 2
alter     : 2
cries     : 2
bearing   : 2
dry       : 2
picking   : 2
Price     : 2
ball      : 2
included  : 2
opposed   : 2
due       : 2
expended  : 2
singing   : 2
Lane      : 2
coventry  : 2
benefit   : 2
highest   : 2
stab      : 2
treat     : 2
wholly    : 2
numbers   : 2
invited   : 2
untaught  : 2
THIS      : 2
mass      : 2
Whether   : 2
lose      : 2
cattle    : 2
Belgium   : 2
devotion  : 2
pretence  : 2
scientific: 2
February  : 2
sufficiently: 2
inspired  : 2
slighted  : 2
inspires  : 2
Tawell    : 2
BE        : 2
BY        : 2
neck      : 2
notes     : 2
official  : 2
spring    : 2
loose     : 2
precisely : 2
lines     : 2
special   : 2
andthe    : 2
achieved  : 2
START     : 2
education : 2
gradually : 2
IN        : 2
IS        : 2
IT        : 2
degradation: 2
below     : 2
NO        : 2
ON        : 2
Oh        : 2
Or        : 2
represented: 2
conclusive: 2
Connell   : 2
Slavery   : 2
enemy     : 2
alternatively: 2
Cobden    : 2
St        : 2
presently : 2
remains   : 2
Free      : 2
servants  : 2
leads     : 2
trademark : 2
war       : 2
attempted : 2
issued    : 2
suicide   : 2
Poet      : 2
rendering : 2
Friend    : 2
wet       : 2
Favour    : 2
statistics: 2
distinction: 2
fee       : 2
originated: 2
sunk      : 2
game      : 2
remark    : 2
win       : 2
lawyer    : 2
From      : 2
matters   : 2
various   : 2
honest    : 2
ac        : 2
ofexecutions: 2
Piedmontese: 2
Defect    : 2
keeping   : 2
partner   : 2
painfully : 2
Though    : 2
needs     : 2
aspiration: 2
END       : 2
content   : 2
dine      : 2
fork      : 2
foul      : 2
easily    : 2
Don       : 2
lively    : 2
