horizon        : 11
narrow         : 11
climate        : 11
become         : 11
help           : 11
headed         : 11
according      : 11
armed          : 11
stones         : 11
refused        : 11
doubt          : 11
paddle         : 11
pass           : 11
fear           : 11
March          : 11
tobacco        : 11
ride           : 11
lives          : 11
beche          : 11
confess        : 11
ground         : 11
strange        : 11
fruit          : 11
working        : 11
tree           : 11
trip           : 11
home           : 11
soon           : 11
sort           : 11
breeze         : 11
people         : 11
during         : 11
Iwas           : 11
Mary           : 11
care           : 11
road           : 11
gold           : 10
eating         : 10
u              : 10
information    : 10
gasolene       : 10
finally        : 10
common         : 10
theory         : 10
near           : 10
traverse       : 10
tropic         : 10
fool           : 10
food           : 10
places         : 10
god            : 10
Eve            : 10
yesterday      : 10
lava           : 10
monstrous      : 10
rule           : 10
Polynesian     : 10
port           : 10
Had            : 10
words          : 10
cross          : 10
others         : 10
lee            : 10
usually        : 10
aboard         : 10
similar        : 10
driven         : 10
poison         : 10
Melville       : 10
wharf          : 10
practice       : 10
willing        : 10
problem        : 10
everybody      : 10
nose           : 10
blue           : 10
wish           : 10
Course         : 10
except         : 10
leaves         : 10
truth          : 10
bone           : 10
friend         : 10
doing          : 10
passing        : 10
wreck          : 10
golden         : 10
swimming       : 10
Two            : 10
necessary      : 10
sometimes      : 10
error          : 10
Yet            : 10
sailor         : 10
offered        : 10
sick           : 10
everything     : 10
break          : 10
forceps        : 10
While          : 10
southeast      : 10
thewater       : 10
paid           : 10
sharks         : 10
June           : 10
heads          : 10
scarcely       : 10
twelve         : 10
method         : 10
chief          : 10
iron           : 10
hook           : 10
crest          : 10
arm            : 10
simple         : 10
battle         : 10
outrigger      : 10
written        : 10
pigs           : 9
third          : 9
further        : 9
missionary     : 9
etc            : 9
entrance       : 9
summit         : 9
grew           : 9
didn           : 9
Hermann        : 9
continued      : 9
magnificent    : 9
warm           : 9
dragged        : 9
answer         : 9
meet           : 9
volcanic       : 9
skipper        : 9
How            : 9
entered        : 9
ones           : 9
overhead       : 9
walls          : 9
led            : 9
sunshine       : 9
forthe         : 9
houses         : 9
whom           : 9
breaking       : 9
rising         : 9
poi            : 9
deserted       : 9
altitude       : 9
drove          : 9
Langa          : 9
French         : 9
bound          : 9
buried         : 9
ranch          : 9
Etexts         : 9
Again          : 9
Seas           : 9
attack         : 9
watch          : 9
required       : 9
quinine        : 9
meridian       : 9
stand          : 9
loin           : 9
cuts           : 9
leave          : 9
waves          : 9
war            : 9
sides          : 9
various        : 9
leeward        : 9
instant        : 9
difference     : 9
House          : 9
waiting        : 9
