note           : 7
cost           : 7
per            : 7
ceased         : 7
slowly         : 7
bought         : 7
judgment       : 7
meeting        : 7
junk           : 7
sold           : 7
husbands       : 7
song           : 7
Japanese       : 7
machine        : 7
coconut        : 7
space          : 7
score          : 7
younger        : 7
Pearl          : 7
ate            : 7
taboo          : 7
drowned        : 7
set            : 7
bound          : 7
begin          : 7
likewise       : 7
MacIlwaine     : 7
friend         : 7
sum            : 7
story          : 7
buy            : 7
flat           : 7
really         : 7
drunk          : 6
energy         : 6
opihis         : 6
laugh          : 6
grandchildren  : 6
picture        : 6
hadbeen        : 6
footed         : 6
Head           : 6
hours          : 6
stars          : 6
daughters      : 6
Parker         : 6
stage          : 6
brown          : 6
University     : 6
towing         : 6
use            : 6
Wait           : 6
palms          : 6
due            : 6
highest        : 6
wood           : 6
bare           : 6
steamer        : 6
lose           : 6
instead        : 6
shade          : 6
Do             : 6
tried          : 6
cent           : 6
paddles        : 6
wanted         : 6
grew           : 6
suit           : 6
fed            : 6
outside        : 6
fromthe        : 6
hurt           : 6
Did            : 6
twilight       : 6
noble          : 6
sitting        : 6
bridge         : 6
seed           : 6
closed         : 6
reading        : 6
terms          : 6
power          : 6
brain          : 6
send           : 6
Brother        : 6
names          : 6
lesser         : 6
beating        : 6
weight         : 6
luaus          : 6
stronger       : 6
colour         : 6
tourist        : 6
twice          : 6
beef           : 6
Yangtse        : 6
muttered       : 6
beginning      : 6
bent           : 6
pointed        : 6
fall           : 6
clock          : 6
Yap            : 6
worth          : 6
telephone      : 6
watched        : 6
worst          : 6
cloud          : 6
Black          : 6
words          : 6
entered        : 6
Which          : 6
sick           : 6
Besides        : 6
emerged        : 6
composed       : 6
Bibles         : 6
social         : 6
fourth         : 6
following      : 6
size           : 6
kanakas        : 6
murmured       : 6
lie            : 6
Hawaiians      : 6
sacrifice      : 6
part           : 6
Colonel        : 6
Island         : 6
etexts         : 6
middle         : 6
slang          : 6
gazed          : 6
atthe          : 6
whole          : 6
knowing        : 6
aged           : 6
stretched      : 6
couldn         : 6
darkness       : 6
jars           : 6
whatever       : 6
dungarees      : 6
loaned         : 6
wrong          : 6
knife          : 6
carry          : 6
burst          : 6
oil            : 6
riding         : 6
sister         : 6
talking        : 6
queried        : 6
pay            : 6
revival        : 6
manner         : 6
terror         : 6
rising         : 6
landed         : 6
swimmer        : 6
secrets        : 6
glad           : 6
islands        : 6
tail           : 6
onthe          : 6
hold           : 6
sons           : 6
dived          : 6
painted        : 6
Still          : 6
taro           : 6
hops           : 6
sort           : 6
laughter       : 6
falling        : 6
Mausoleum      : 6
slept          : 6
guessed        : 6
wonder         : 6
answered       : 6
pride          : 6
insisted       : 6
ran            : 6
withered       : 6
red            : 6
morrow         : 6
fishes         : 6
Iwas           : 6
call           : 6
book           : 6
described      : 6
also           : 6
awake          : 6
Kamehameha     : 6
table          : 6
anger          : 6
Keola          : 6
Such           : 6
higher         : 6
doing          : 6
thebeach       : 6
weather        : 6
rode           : 6
growing        : 6
car            : 6
salt           : 5
entering       : 5
sank           : 5
plenty         : 5
worked         : 5
mistress       : 5
length         : 5
grand          : 5
stand          : 5
forward        : 5
grain          : 5
Print          : 5
hiding         : 5
Kona           : 5
Lask           : 5
Last           : 5
invited        : 5
missionary     : 5
wore           : 5
thathe         : 5
rushed         : 5
Since          : 5
near           : 5
shortest       : 5
An             : 5
Be             : 5
need           : 5
loose          : 5
haoles         : 5
horizon        : 5
forth          : 5
sharp          : 5
naked          : 5
brass          : 5
driving        : 5
dreams         : 5
running        : 5
Waihee         : 5
Royal          : 5
intothe        : 5
quickly        : 5
older          : 5
presented      : 5
damned         : 5
various        : 5
sudden         : 5
tooth          : 5
keeping        : 5
piece          : 5
rate           : 5
placed         : 5
diving         : 5
Kaaukuu        : 5
places         : 5
picked         : 5
feeling        : 5
kissed         : 5
dive           : 5
seat           : 5
belly          : 5
email          : 5
Shin           : 5
thin           : 5
sent           : 5
audience       : 5
committee      : 5
FOR            : 5
entire         : 5
laid           : 5
didnot         : 5
equally        : 5
whether        : 5
replied        : 5
walk           : 5
religion       : 5
late           : 5
Almost         : 5
garden         : 5
careless       : 5
meat           : 5
pondered       : 5
waiting        : 5
forget         : 5
United         : 5
fact           : 5
oldest         : 5
rule           : 5
pods           : 5
pond           : 5
Polynesian     : 5
paper          : 5
breakers       : 5
number         : 5
urged          : 5
filled         : 5
whopper        : 5
touch          : 5
repeated       : 5
everywhere     : 5
suddenly       : 5
dinner         : 5
ordinary       : 5
thinking       : 5
missed         : 5
sign           : 5
poker          : 5
raised         : 5
lighted        : 5
silk           : 5
stopped        : 5
laughing       : 5
sink           : 5
especially     : 5
sing           : 5
swimmers       : 5
seeing         : 5
customs        : 5
Mellon         : 5
leis           : 5
police         : 5
Young          : 5
crazy          : 5
walls          : 5
noise          : 5
cheap          : 5
sport          : 5
leg            : 5
pain           : 5
lot            : 5
meant          : 5
means          : 5
quick          : 5
Like           : 5
particular     : 5
pause          : 5
path           : 5
ofhis          : 5
pass           : 5
Scandwell      : 5
bite           : 5
prince         : 5
brothers       : 5
sense          : 5
mention        : 5
mad            : 5
glance         : 5
beard          : 5
lobster        : 5
claimed        : 5
forthe         : 5
genealogy      : 5
ofher          : 5
failed         : 5
copyright      : 5
Some           : 5
crossed        : 5
grandmother    : 5
mystery        : 5
cataract       : 5
lofty          : 5
ships          : 5
modern         : 5
eleventh       : 5
screamed       : 5
girls          : 5
thunder        : 5
beheld         : 5
turned         : 5
promised       : 5
twelve         : 5
lies           : 5
Moon           : 5
seized         : 5
lobsters       : 5
copy           : 5
dare           : 5
limu           : 5
faced          : 5
faces          : 5
wish           : 5
service        : 5
birth          : 5
New            : 5
fruit          : 5
gravely        : 5
shadow         : 5
clear          : 5
clean          : 5
knowledge      : 5
California     : 5
tells          : 5
tale           : 5
trail          : 5
commoners      : 5
smile          : 5
Kalama         : 5
sought         : 5
crest          : 5
danced         : 5
finger         : 5
struggled      : 5
covered        : 5
invariably     : 5
public         : 5
sisters        : 5
building       : 5
Maybe          : 5
finish         : 5
Lizzie         : 5
sorry          : 5
cowboys        : 5
crew           : 5
spear          : 5
speak          : 5
boat           : 5
expense        : 5
Kalakaua       : 5
Kauai          : 5
bowed          : 5
calf           : 5
Look           : 5
labour         : 5
Finneston      : 5
kind           : 5
patient        : 5
sad            : 5
angry          : 5
allthe         : 5
explained      : 5
clapped        : 5
mental         : 5
drawn          : 5
sorcerers      : 5
figure         : 5
passing        : 5
drank          : 5
Valley         : 5
twisted        : 5
Sometimes      : 5
flung          : 5
hedge          : 5
aware          : 5
carried        : 5
Twenty         : 4
daring         : 4
S              : 4
Ella           : 4
ordered        : 4
Again          : 4
suffered       : 4
myriad         : 4
tip            : 4
slaying        : 4
clinging       : 4
hart           : 4
dinners        : 4
Wilton         : 4
pink           : 4
top            : 4
Ahuhu          : 4
rose           : 4
direction      : 4
distribute     : 4
kitchen        : 4
shook          : 4
paying         : 4
These          : 4
windward       : 4
flowers        : 4
coconuts       : 4
bloom          : 4
boards         : 4
sixteen        : 4
